"(n,q)",Connected,Tor(K_0) cyclic,Rank(K_1) > 0,All cyclic,,2-cyclic,2-Sylow = 0,2-Sylow = Z/2Z,2-Sylow = Z/(2^2Z),2-Sylow = (Z/2Z)^2,2-Sylow = Z/(2^3Z),2-Sylow = (Z/2Z)^3,2-Sylow = Z/(2^4Z),2-Sylow = (Z/2Z)^4,2-Sylow = Z/(2^5Z),2-Sylow = (Z/2Z)^5,2-Sylow = Z/(2^6Z),2-Sylow = (Z/2Z)^6,2-Sylow = Z/(2^7Z),2-Sylow = (Z/2Z)^7,2-Sylow = Z/(2^8Z),2-Sylow = (Z/2Z)^8,2-Sylow = Z/(2^9Z),2-Sylow = (Z/2Z)^9,2-Sylow = Z/(2^10Z),2-Sylow = (Z/2Z)^10,2-Sylow = Z/(2^11Z),2-Sylow = (Z/2Z)^11,2-Sylow = Z/(2^12Z),2-Sylow = (Z/2Z)^12,2-Sylow = Z/(2^13Z),2-Sylow = (Z/2Z)^13,,3-cyclic,3-Sylow = 0,3-Sylow = Z/3Z,3-Sylow = Z/(3^2Z),3-Sylow = (Z/3Z)^2,3-Sylow = Z/(3^3Z),3-Sylow = (Z/3Z)^3,3-Sylow = Z/(3^4Z),3-Sylow = (Z/3Z)^4,3-Sylow = Z/(3^5Z),3-Sylow = (Z/3Z)^5,3-Sylow = Z/(3^6Z),3-Sylow = (Z/3Z)^6,3-Sylow = Z/(3^7Z),3-Sylow = (Z/3Z)^7,3-Sylow = Z/(3^8Z),3-Sylow = (Z/3Z)^8,,5-cyclic,5-Sylow = 0,5-Sylow = Z/5Z,5-Sylow = Z/(5^2Z),5-Sylow = (Z/5Z)^2,5-Sylow = Z/(5^3Z),5-Sylow = (Z/5Z)^3,5-Sylow = Z/(5^4Z),5-Sylow = (Z/5Z)^4,5-Sylow = Z/(5^5Z),5-Sylow = (Z/5Z)^5,,7-cyclic,7-Sylow = 0,7-Sylow = Z/7Z,7-Sylow = Z/(7^2Z),7-Sylow = (Z/7Z)^2,7-Sylow = Z/(7^3Z),7-Sylow = (Z/7Z)^3,7-Sylow = Z/(7^4Z),7-Sylow = (Z/7Z)^4,,11-cyclic,11-Sylow = 0,11-Sylow = Z/11Z,11-Sylow = Z/(11^2Z),11-Sylow = (Z/11Z)^2,11-Sylow = Z/(11^3Z),11-Sylow = (Z/11Z)^3,,13-cyclic,13-Sylow = 0,13-Sylow = Z/13Z,13-Sylow = Z/(13^2Z),13-Sylow = (Z/13Z)^2,13-Sylow = Z/(13^3Z),13-Sylow = (Z/13Z)^3,,17-cyclic,17-Sylow = 0,17-Sylow = Z/17Z,17-Sylow = Z/(17^2Z),17-Sylow = (Z/17Z)^2,17-Sylow = Z/(17^3Z),17-Sylow = (Z/17Z)^3,,19-cyclic,19-Sylow = 0,19-Sylow = Z/19Z,19-Sylow = Z/(19^2Z),19-Sylow = (Z/19Z)^2,19-Sylow = Z/(19^3Z),19-Sylow = (Z/19Z)^3,,23-cyclic,23-Sylow = 0,23-Sylow = Z/23Z,23-Sylow = Z/(23^2Z),23-Sylow = (Z/23Z)^2,,29-cyclic,29-Sylow = 0,29-Sylow = Z/29Z,29-Sylow = Z/(29^2Z),29-Sylow = (Z/29Z)^2,,31-cyclic,31-Sylow = 0,31-Sylow = Z/31Z,31-Sylow = Z/(31^2Z),31-Sylow = (Z/31Z)^2,,37-cyclic,37-Sylow = 0,37-Sylow = Z/37Z,37-Sylow = Z/(37^2Z),37-Sylow = (Z/37Z)^2,,137-cyclic,137-Sylow = 0,137-Sylow = Z/137Z,,277-cyclic,277-Sylow = 0,277-Sylow = Z/277Z
"(100, 1/3)",100000,84727,0,0.84727,,86676,29047,28909,14447,4853,7066,185,3572,3,1831,0,905,0,439,0,240,0,110,0,56,0,27,0,14,0,8,0,,98003,56059,27863,9328,1204,3148,5,1082,0,354,0,111,0,36,0,17,0,,99801,75807,19348,3758,150,701,0,147,0,36,0,,99952,83420,14179,2030,39,278,0,38,0,,99994,90108,8978,836,6,67,0,,99997,91826,7595,530,2,39,0,,100000,93816,5776,378,0,29,0,,99999,94536,5152,304,1,7,0,,100000,95445,4364,181,0,,100000,96488,3397,112,0,,100000,96660,3226,111,0,,100000,97181,2743,74,0,,100000,99277,719,,100000,99663,337
,"[1.0000, 1.0000]","[0.8443, 0.8502]","[0.0000, 0.0000]",,,"[0.8640, 0.8695]","[0.2868, 0.2942]","[0.2854, 0.2928]","[0.1416, 0.1473]","[0.0468, 0.0503]","[0.0686, 0.0727]","[0.0015, 0.0022]","[0.0342, 0.0372]","[-0.0000, 0.0001]","[0.0172, 0.0194]","[0.0000, 0.0000]","[0.0083, 0.0098]","[0.0000, 0.0000]","[0.0039, 0.0049]","[0.0000, 0.0000]","[0.0020, 0.0028]","[0.0000, 0.0000]","[0.0008, 0.0014]","[0.0000, 0.0000]","[0.0004, 0.0008]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9789, 0.9812]","[0.5565, 0.5646]","[0.2750, 0.2823]","[0.0909, 0.0956]","[0.0112, 0.0129]","[0.0301, 0.0329]","[-0.0000, 0.0001]","[0.0100, 0.0117]","[0.0000, 0.0000]","[0.0031, 0.0040]","[0.0000, 0.0000]","[0.0008, 0.0014]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9976, 0.9984]","[0.7546, 0.7616]","[0.1903, 0.1967]","[0.0360, 0.0391]","[0.0012, 0.0018]","[0.0063, 0.0077]","[0.0000, 0.0000]","[0.0012, 0.0018]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[0.9993, 0.9997]","[0.8312, 0.8372]","[0.1389, 0.1446]","[0.0192, 0.0214]","[0.0002, 0.0006]","[0.0024, 0.0032]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.8986, 0.9035]","[0.0875, 0.0921]","[0.0076, 0.0091]","[-0.0000, 0.0001]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9160, 0.9205]","[0.0738, 0.0781]","[0.0047, 0.0059]","[-0.0000, 0.0001]","[0.0002, 0.0006]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9362, 0.9401]","[0.0559, 0.0597]","[0.0033, 0.0043]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9435, 0.9472]","[0.0497, 0.0533]","[0.0026, 0.0035]","[-0.0000, 0.0000]","[0.0000, 0.0001]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9528, 0.9561]","[0.0420, 0.0453]","[0.0015, 0.0022]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9634, 0.9664]","[0.0325, 0.0354]","[0.0008, 0.0014]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9651, 0.9681]","[0.0308, 0.0337]","[0.0008, 0.0014]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9705, 0.9732]","[0.0261, 0.0288]","[0.0005, 0.0010]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9921, 0.9935]","[0.0065, 0.0079]",,"[1.0000, 1.0000]","[0.9962, 0.9971]","[0.0029, 0.0038]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(50, 1/2)",100000,84881,0,0.84892,,86769,29106,28715,14419,4704,7232,175,3633,0,1814,0,939,0,463,0,219,0,120,0,44,0,38,0,11,0,11,0,,98104,55947,28170,9364,1115,3082,6,1031,0,355,0,100,0,31,0,16,0,,99788,76295,18809,3759,157,720,0,172,0,24,0,,99954,83553,14039,2043,39,277,0,39,0,,99990,90185,8900,828,8,74,0,,99997,91633,7656,652,3,52,0,,99999,93841,5791,341,1,26,0,,100000,94501,5209,274,0,13,0,,100000,95527,4268,196,0,,100000,96485,3397,115,0,,100000,96626,3261,111,0,,100000,97269,2659,72,0,,100000,99286,710,,100000,99654,344
,"[1.0000, 1.0000]","[0.8459, 0.8517]","[0.0000, 0.0000]",,,"[0.8649, 0.8704]","[0.2874, 0.2948]","[0.2835, 0.2908]","[0.1413, 0.1471]","[0.0453, 0.0488]","[0.0702, 0.0744]","[0.0014, 0.0021]","[0.0348, 0.0379]","[0.0000, 0.0000]","[0.0171, 0.0192]","[0.0000, 0.0000]","[0.0086, 0.0102]","[0.0000, 0.0000]","[0.0041, 0.0052]","[0.0000, 0.0000]","[0.0018, 0.0026]","[0.0000, 0.0000]","[0.0009, 0.0015]","[0.0000, 0.0000]","[0.0003, 0.0006]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9799, 0.9822]","[0.5554, 0.5635]","[0.2780, 0.2854]","[0.0913, 0.0960]","[0.0103, 0.0120]","[0.0294, 0.0322]","[-0.0000, 0.0001]","[0.0095, 0.0111]","[0.0000, 0.0000]","[0.0031, 0.0040]","[0.0000, 0.0000]","[0.0007, 0.0013]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9975, 0.9983]","[0.7595, 0.7664]","[0.1849, 0.1913]","[0.0360, 0.0391]","[0.0012, 0.0019]","[0.0065, 0.0079]","[0.0000, 0.0000]","[0.0014, 0.0021]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]",,"[0.9994, 0.9997]","[0.8325, 0.8385]","[0.1376, 0.1432]","[0.0193, 0.0216]","[0.0002, 0.0006]","[0.0023, 0.0032]","[0.0000, 0.0000]","[0.0002, 0.0006]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.8994, 0.9043]","[0.0867, 0.0913]","[0.0075, 0.0090]","[0.0000, 0.0002]","[0.0005, 0.0010]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9141, 0.9186]","[0.0744, 0.0787]","[0.0059, 0.0072]","[-0.0000, 0.0001]","[0.0003, 0.0007]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9365, 0.9404]","[0.0560, 0.0598]","[0.0029, 0.0039]","[-0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9432, 0.9469]","[0.0503, 0.0539]","[0.0023, 0.0032]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9536, 0.9570]","[0.0410, 0.0443]","[0.0016, 0.0023]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9633, 0.9664]","[0.0325, 0.0354]","[0.0009, 0.0014]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9648, 0.9677]","[0.0312, 0.0341]","[0.0008, 0.0014]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9714, 0.9740]","[0.0253, 0.0279]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9922, 0.9935]","[0.0064, 0.0078]",,"[1.0000, 1.0000]","[0.9961, 0.9970]","[0.0030, 0.0039]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(100, 1/2)",100000,85098,0,0.85066,,86928,28992,29137,14427,4718,7114,157,3588,0,1857,0,897,0,485,0,198,0,116,0,60,0,34,0,14,0,3,0,,98086,56285,27887,9228,1153,3167,2,1056,0,305,0,99,0,40,0,16,0,,99819,76293,18674,3922,140,761,0,138,0,25,0,,99961,83638,14005,1989,34,283,0,38,0,,99994,90007,9062,846,6,70,0,,99995,91711,7626,607,4,48,0,,99999,93654,5991,332,1,20,0,,100000,94396,5330,262,0,11,0,,100000,95482,4363,147,0,,100000,96439,3437,115,0,,100000,96694,3225,80,0,,100000,97197,2718,82,0,,100000,99277,718,,100000,99623,374
,"[1.0000, 1.0000]","[0.8481, 0.8539]","[0.0000, 0.0000]",,,"[0.8665, 0.8720]","[0.2862, 0.2936]","[0.2877, 0.2951]","[0.1414, 0.1471]","[0.0455, 0.0489]","[0.0690, 0.0732]","[0.0012, 0.0019]","[0.0344, 0.0374]","[0.0000, 0.0000]","[0.0175, 0.0197]","[0.0000, 0.0000]","[0.0082, 0.0097]","[0.0000, 0.0000]","[0.0043, 0.0054]","[0.0000, 0.0000]","[0.0016, 0.0023]","[0.0000, 0.0000]","[0.0009, 0.0014]","[0.0000, 0.0000]","[0.0004, 0.0008]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9797, 0.9820]","[0.5588, 0.5669]","[0.2752, 0.2825]","[0.0899, 0.0946]","[0.0107, 0.0124]","[0.0302, 0.0331]","[-0.0000, 0.0001]","[0.0097, 0.0114]","[0.0000, 0.0000]","[0.0026, 0.0035]","[0.0000, 0.0000]","[0.0007, 0.0012]","[0.0000, 0.0000]","[0.0002, 0.0006]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9978, 0.9985]","[0.7595, 0.7664]","[0.1836, 0.1899]","[0.0376, 0.0408]","[0.0011, 0.0017]","[0.0069, 0.0083]","[0.0000, 0.0000]","[0.0011, 0.0017]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]",,"[0.9994, 0.9998]","[0.8334, 0.8394]","[0.1372, 0.1429]","[0.0188, 0.0210]","[0.0002, 0.0005]","[0.0024, 0.0033]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.8976, 0.9025]","[0.0883, 0.0930]","[0.0077, 0.0092]","[-0.0000, 0.0001]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9149, 0.9194]","[0.0741, 0.0784]","[0.0054, 0.0067]","[-0.0000, 0.0001]","[0.0003, 0.0007]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9346, 0.9385]","[0.0580, 0.0618]","[0.0029, 0.0038]","[-0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9421, 0.9458]","[0.0515, 0.0551]","[0.0022, 0.0030]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9531, 0.9565]","[0.0420, 0.0453]","[0.0012, 0.0018]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9629, 0.9659]","[0.0329, 0.0359]","[0.0009, 0.0014]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9655, 0.9684]","[0.0308, 0.0337]","[0.0006, 0.0010]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9706, 0.9733]","[0.0259, 0.0285]","[0.0006, 0.0011]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9921, 0.9935]","[0.0065, 0.0079]",,"[1.0000, 1.0000]","[0.9957, 0.9967]","[0.0032, 0.0042]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(50, (log50)/100)",2,91511,66619,0.91515,,92200,47625,29395,9623,3923,3543,134,1329,1,464,0,160,0,45,0,11,0,5,0,0,0,0,0,0,0,0,0,,99301,76105,18548,3755,527,743,4,134,0,15,0,1,0,0,0,0,0,,99959,90559,8556,792,36,50,0,2,0,0,0,,99997,94613,5108,272,3,4,0,0,0,,100000,97240,2715,45,0,0,0,,100000,97962,2025,13,0,0,0,,100000,98668,1325,7,0,0,0,,100000,98818,1176,6,0,0,0,,100000,99195,802,3,0,,100000,99427,573,0,0,,100000,99506,494,0,0,,100000,99646,354,0,0,,100000,99969,31,,100000,99991,9
,"[-0.0000, 0.0001]","[0.9128, 0.9174]","[0.6623, 0.6700]",,,"[0.9198, 0.9242]","[0.4722, 0.4803]","[0.2902, 0.2977]","[0.0938, 0.0986]","[0.0376, 0.0408]","[0.0339, 0.0369]","[0.0010, 0.0016]","[0.0124, 0.0142]","[-0.0000, 0.0000]","[0.0041, 0.0052]","[0.0000, 0.0000]","[0.0013, 0.0019]","[0.0000, 0.0000]","[0.0003, 0.0006]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9923, 0.9937]","[0.7576, 0.7645]","[0.1823, 0.1886]","[0.0360, 0.0391]","[0.0047, 0.0059]","[0.0067, 0.0081]","[-0.0000, 0.0001]","[0.0010, 0.0016]","[0.0000, 0.0000]","[0.0001, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9994, 0.9998]","[0.9032, 0.9080]","[0.0833, 0.0878]","[0.0072, 0.0086]","[0.0002, 0.0005]","[0.0003, 0.0007]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9443, 0.9480]","[0.0493, 0.0529]","[0.0023, 0.0031]","[-0.0000, 0.0001]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9711, 0.9737]","[0.0258, 0.0285]","[0.0003, 0.0006]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9785, 0.9808]","[0.0191, 0.0214]","[0.0000, 0.0002]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9857, 0.9876]","[0.0123, 0.0142]","[0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9873, 0.9891]","[0.0109, 0.0126]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9912, 0.9927]","[0.0073, 0.0087]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9937, 0.9949]","[0.0051, 0.0063]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9945, 0.9956]","[0.0044, 0.0055]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9960, 0.9969]","[0.0031, 0.0040]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9995, 0.9998]","[0.0002, 0.0005]",,"[1.0000, 1.0000]","[0.9998, 1.0000]","[0.0000, 0.0002]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(100, log(100)/200)",0,87968,51702,0.87938,,89172,39760,29146,11115,4425,4888,213,2211,1,1086,0,515,0,228,0,133,0,52,0,25,0,5,0,5,0,3,0,,98776,68593,21608,5978,750,1836,7,525,0,176,0,47,0,10,0,3,0,,99866,84723,12544,2137,108,377,0,76,0,8,0,,99978,89956,8747,1113,16,140,0,22,0,,99998,94207,5351,408,2,32,0,,100000,95121,4560,301,0,16,0,,99999,96513,3301,177,1,7,0,,99997,96850,2983,155,3,8,0,,100000,97466,2442,88,0,,100000,98082,1876,41,0,,100000,98175,1766,58,0,,100000,98467,1498,34,0,,100000,99634,363,,100000,99831,169
,"[0.0000, 0.0000]","[0.8770, 0.8823]","[0.5129, 0.5211]",,,"[0.8892, 0.8943]","[0.3936, 0.4016]","[0.2878, 0.2952]","[0.1086, 0.1137]","[0.0426, 0.0459]","[0.0471, 0.0506]","[0.0018, 0.0025]","[0.0209, 0.0233]","[-0.0000, 0.0000]","[0.0100, 0.0117]","[0.0000, 0.0000]","[0.0046, 0.0057]","[0.0000, 0.0000]","[0.0019, 0.0027]","[0.0000, 0.0000]","[0.0010, 0.0016]","[0.0000, 0.0000]","[0.0003, 0.0007]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9869, 0.9887]","[0.6821, 0.6897]","[0.2127, 0.2194]","[0.0578, 0.0617]","[0.0068, 0.0082]","[0.0173, 0.0195]","[0.0000, 0.0001]","[0.0047, 0.0058]","[0.0000, 0.0000]","[0.0014, 0.0021]","[0.0000, 0.0000]","[0.0003, 0.0006]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9984, 0.9990]","[0.8443, 0.8502]","[0.1227, 0.1281]","[0.0202, 0.0225]","[0.0008, 0.0013]","[0.0033, 0.0043]","[0.0000, 0.0000]","[0.0005, 0.0010]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9997, 0.9999]","[0.8971, 0.9020]","[0.0852, 0.0898]","[0.0103, 0.0120]","[0.0001, 0.0003]","[0.0011, 0.0017]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9402, 0.9440]","[0.0517, 0.0553]","[0.0036, 0.0046]","[-0.0000, 0.0001]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9495, 0.9530]","[0.0439, 0.0473]","[0.0026, 0.0035]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9636, 0.9666]","[0.0316, 0.0345]","[0.0014, 0.0021]","[-0.0000, 0.0000]","[0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9671, 0.9699]","[0.0284, 0.0312]","[0.0012, 0.0019]","[-0.0000, 0.0001]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9734, 0.9759]","[0.0232, 0.0257]","[0.0006, 0.0011]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9797, 0.9819]","[0.0177, 0.0199]","[0.0002, 0.0006]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9807, 0.9828]","[0.0166, 0.0187]","[0.0004, 0.0008]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9837, 0.9857]","[0.0140, 0.0160]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9958, 0.9968]","[0.0031, 0.0041]",,"[1.0000, 1.0000]","[0.9980, 0.9986]","[0.0014, 0.0020]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(50,(log50)/50)",16692,85856,15379,0.85866,,87539,32591,29029,13267,4621,6379,174,3126,1,1609,0,779,0,376,0,195,0,97,0,43,0,23,0,10,0,10,0,,98305,60146,26013,8202,1037,2650,5,883,0,293,0,78,0,22,0,13,0,,99827,78666,17100,3238,142,666,0,124,0,28,0,,99965,85638,12361,1679,29,246,0,35,0,,99993,91421,7790,716,7,61,0,,99999,92688,6747,528,1,33,0,,99997,94665,5027,287,3,17,0,,100000,95179,4549,256,0,16,0,,99999,96198,3627,167,1,,100000,96906,2987,103,0,,100000,97256,2666,77,0,,100000,97579,2358,63,0,,100000,99388,606,,100000,99685,315
